"actorId","phase","currentBoundary","pointer","targetIds","startUtf16","endUtf16","text","coverage","work","deterministicOperations","prerequisites","residual","expected"
"archon-devers","initial","initial submitted frontier","/rawText","[""crew"",""ship""]","0","13","在晨间点名后召集值勤军官，","fallback","召集/派遣/接触","[]","个体或执行者身份、通道、可用性、旅行/接触时序与自主响应成立。点名是前提；军官不是自动绑定的统一心智，昨日明细需核查。","群体不是心智；请求、派出、到达和执行不能相互推导","形成实际召集、逐人核查结果和重申记录；处罚授权与私人交易的否定约束保留。"
"archon-devers","initial","initial submitted frontier","/rawText","[""crew"",""ship""]","13","37","逐一核对过去一昼夜的疲劳、伤病、值勤与武器状况，","fallback","观察/核查","[]","合法访问/感知依据、具体既存资料或已裁决的现场证据。点名是前提；军官不是自动绑定的统一心智，昨日明细需核查。","未知细节、发现过程、比较结论不能由事实可见标签自动产生","形成实际召集、逐人核查结果和重申记录；处罚授权与私人交易的否定约束保留。"
"archon-devers","initial","initial submitted frontier","/rawText","[""crew"",""ship""]","37","64","重申处罚与豁免必须由我和记录册承认，不由私人交易决定。","fallback","表达/请求","[]","发话者有依据，实际接触和通道/时序由规则或裁决确立。点名是前提；军官不是自动绑定的统一心智，昨日明细需核查。","发出内容不证明送达、答复、相信、服从或后续任务完成","形成实际召集、逐人核查结果和重申记录；处罚授权与私人交易的否定约束保留。"
"autarch-elana","initial","initial submitted frontier","/rawText","[""field-commander"",""tribute-officer"",""headquarters""]","0","38","我派人分别召 Rinisar 与 Kinkaris 的传信者到总部当面说明：","fallback","召集/派遣/接触","[]","个体或执行者身份、通道、可用性、旅行/接触时序与自主响应成立。召见经传信者发生；路线、时点、数额、风险和凭据是请求的信息，不是已有答复。","群体不是心智；请求、派出、到达和执行不能相互推导","记录派遣与真实接触，收到逐项陈述及凭据才记核对完成。"
"autarch-elana","initial","initial submitted frontier","/rawText","[""field-commander"",""tribute-officer"",""headquarters""]","38","81","不是责备，而是要求他们把最近短报里省略的路线、时点、数额与需要总部承担的风险逐项补齐，","fallback","表达/请求","[]","发话者有依据，实际接触和通道/时序由规则或裁决确立。召见经传信者发生；路线、时点、数额、风险和凭据是请求的信息，不是已有答复。","发出内容不证明送达、答复、相信、服从或后续任务完成","记录派遣与真实接触，收到逐项陈述及凭据才记核对完成。"
"autarch-elana","initial","initial submitted frontier","/rawText","[""field-commander"",""tribute-officer"",""headquarters""]","81","92","并带来可供核对的凭据。","fallback","观察/核查","[]","合法访问/感知依据、具体既存资料或已裁决的现场证据。召见经传信者发生；路线、时点、数额、风险和凭据是请求的信息，不是已有答复。","未知细节、发现过程、比较结论不能由事实可见标签自动产生","记录派遣与真实接触，收到逐项陈述及凭据才记核对完成。"
"azure-king","initial","initial submitted frontier","/rawText","[""shell-collectors"",""hall""]","0","16","我前往月贝采集者们常出发的礁脊，","fallback","移动/到场","[]","起终点、路线、移动规则、实际持续时间和接触成立。须先前往礁脊；五名 mermaid 属群体成员，不能由群体实体伪造五份心智。","准备或提出前往不证明到达；不能用同一 placement 假定接触","移动和接触有证据；分人记录航程安排及实际复述，不能把提出问题当作复述。"
"azure-king","initial","initial submitted frontier","/rawText","[""shell-collectors"",""hall""]","16","71","向带队的五名 mermaid 当面确认下一次满月采集的航程：谁在何处下潜、由谁接应、返航时若少人该向哪里报信，","fallback","表达/请求","[]","发话者有依据，实际接触和通道/时序由规则或裁决确立。须先前往礁脊；五名 mermaid 属群体成员，不能由群体实体伪造五份心智。","发出内容不证明送达、答复、相信、服从或后续任务完成","移动和接触有证据；分人记录航程安排及实际复述，不能把提出问题当作复述。"
"azure-king","initial","initial submitted frontier","/rawText","[""shell-collectors"",""hall""]","71","89","并让他们复述各自理解的失联处置办法。","fallback","记录/复述","[]","原始数据、证词来源、记录载体或实际复述存在。须先前往礁脊；五名 mermaid 属群体成员，不能由群体实体伪造五份心智。","复制不能创造被抄信息，也不能把意图或命令当作已有记录","移动和接触有证据；分人记录航程安排及实际复述，不能把提出问题当作复述。"
"bedewald-atheling","initial","initial submitted frontier","/rawText","[""hydra-lair"",""keep""]","0","14","我按现有轮值派出下一班巡逻，","fallback","召集/派遣/接触","[]","个体或执行者身份、通道、可用性、旅行/接触时序与自主响应成立。巡逻队执行与往返、爪迹新旧、向南移动属于未确定观察。","群体不是心智；请求、派出、到达和执行不能相互推导","派遣与巡逻进度可继续；交付具体地点及现场证据才算调查完成。"
"bedewald-atheling","initial","initial submitted frontier","/rawText","[""hydra-lair"",""keep""]","14","54","沿既定观察点重新核对 Hydra 洞穴以南的爪迹、足迹新旧与是否有向南移动迹象，","fallback","观察/核查","[]","合法访问/感知依据、具体既存资料或已裁决的现场证据。巡逻队执行与往返、爪迹新旧、向南移动属于未确定观察。","未知细节、发现过程、比较结论不能由事实可见标签自动产生","派遣与巡逻进度可继续；交付具体地点及现场证据才算调查完成。"
"bedewald-atheling","initial","initial submitted frontier","/rawText","[""hydra-lair"",""keep""]","54","73","要求带回沿线的具体位置而不是笼统结论。","fallback","表达/请求","[]","发话者有依据，实际接触和通道/时序由规则或裁决确立。巡逻队执行与往返、爪迹新旧、向南移动属于未确定观察。","发出内容不证明送达、答复、相信、服从或后续任务完成","派遣与巡逻进度可继续；交付具体地点及现场证据才算调查完成。"
"canon-brannoc","initial","initial submitted frontier","/rawText","[""newcomer"",""temple""]","0","17","我在神殿接待厅找到那名新来的旅人，","fallback","移动/到场","[]","起终点、路线、移动规则、实际持续时间和接触成立。接待厅旅人须存在并建立接触；问题涉及其私有经历、意愿与未来承诺。","准备或提出前往不证明到达；不能用同一 placement 假定接触","分别记录问话、警告与对方实际答复；不代答、不强制服从或履约。"
"canon-brannoc","initial","initial submitted frontier","/rawText","[""newcomer"",""temple""]","17","41","先问他在港口听过什么、从哪里来、愿意为谁冒风险；","fallback","表达/请求","[]","发话者有依据，实际接触和通道/时序由规则或裁决确立。接待厅旅人须存在并建立接触；问题涉及其私有经历、意愿与未来承诺。","发出内容不证明送达、答复、相信、服从或后续任务完成","分别记录问话、警告与对方实际答复；不代答、不强制服从或履约。"
"canon-brannoc","initial","initial submitted frontier","/rawText","[""newcomer"",""temple""]","41","55","随后直说黑沼城堡地下仍危险，","fallback","表达/请求","[]","发话者有依据，实际接触和通道/时序由规则或裁决确立。接待厅旅人须存在并建立接触；问题涉及其私有经历、意愿与未来承诺。","发出内容不证明送达、答复、相信、服从或后续任务完成","分别记录问话、警告与对方实际答复；不代答、不强制服从或履约。"
"canon-brannoc","initial","initial submitted frontier","/rawText","[""newcomer"",""temple""]","55","89","问他若被派进去，能否保证不抛弃受伤的同伴并按约定把情报交回神殿核验。","fallback","表达/请求","[]","发话者有依据，实际接触和通道/时序由规则或裁决确立。接待厅旅人须存在并建立接触；问题涉及其私有经历、意愿与未来承诺。","发出内容不证明送达、答复、相信、服从或后续任务完成","分别记录问话、警告与对方实际答复；不代答、不强制服从或履约。"
"chief-bjarni","initial","initial submitted frontier","/rawText","[""ysby"",""boats""]","0","15","召集村里管船与管仓的几名老手，","fallback","召集/派遣/接触","[]","个体或执行者身份、通道、可用性、旅行/接触时序与自主响应成立。管船管仓者须绑定；船只材料和逐船修补状态不能由笼统库存推导。","群体不是心智；请求、派出、到达和执行不能相互推导","按实际核查形成余量、不可离港船只和修补清单；保留条件与期限。"
"chief-bjarni","initial","initial submitted frontier","/rawText","[""ysby"",""boats""]","15","36","逐项复核盐鱼、绳索、船体修补料与冬储余量，","fallback","观察/核查","[]","合法访问/感知依据、具体既存资料或已裁决的现场证据。管船管仓者须绑定；船只材料和逐船修补状态不能由笼统库存推导。","未知细节、发现过程、比较结论不能由事实可见标签自动产生","按实际核查形成余量、不可离港船只和修补清单；保留条件与期限。"
"chief-bjarni","initial","initial submitted frontier","/rawText","[""ysby"",""boats""]","36","54","标出哪几艘船在任何情况下都不能离港，","fallback","推断/选择/规划","[]","相关证据由该主体合法获得，并保留自主判断。管船管仓者须绑定；船只材料和逐船修补状态不能由笼统库存推导。","计算合法不能证明推断、意愿或外交结果正确；计划不是完成","按实际核查形成余量、不可离港船只和修补清单；保留条件与期限。"
